,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,17,1,0,0,1,0,1,0,0,1,2,3,1,1,0
Mercedes-Benz,4,17,0,0,1,1,0,0,0,3,0,1,0,2,0
Ford,0,1,19,0,0,4,2,2,1,3,1,0,0,0,2
Hyundai,0,0,0,14,1,0,0,0,1,0,0,0,0,0,0
Kia,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1
Toyota,0,0,1,0,2,1,2,0,15,1,1,0,1,0,1
Chevrolet,0,0,0,0,0,1,0,0,0,12,0,1,0,0,12
Honda,0,0,0,0,0,1,0,0,2,0,18,0,0,0,0
Audi,0,0,0,0,1,1,0,0,0,0,1,15,0,0,1
Lexus,0,0,0,0,0,0,0,0,2,0,0,1,14,0,0
Tesla,0,0,0,0,2,0,0,0,1,4,1,1,1,18,2
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
